case_id,alert_type,failed_login_count,successful_login,new_ip,location_change,login_location,endpoint_anomaly,email_anomaly,cloud_anomaly,previous_incident,evidence_missing,evidence_conflict,risk_score,risk_level,investigation_steps,containment_decision,investigation_status,case_outcome
CASE-0001,Suspicious Login,4,0,1,0,Chennai,0,0,0,0,1,0,10,LOW,Validate Alert → Check Authentication History → Investigate IP and Location → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,BLOCKED - Missing Evidence,Benign Activity
CASE-0002,Suspicious Login,1,0,0,0,Bangalore,0,1,0,1,0,0,15,LOW,Validate Alert → Check Authentication History → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,Normal Investigation,Benign Activity
CASE-0003,Cloud Account Anomaly,3,1,1,0,Mumbai,0,1,0,0,1,0,30,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Email Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Benign Activity
CASE-0004,Phishing Email,3,0,1,0,Chennai,1,0,1,1,0,1,45,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,MANUAL REVIEW - Conflicting Evidence,Needs Further Investigation
CASE-0005,Endpoint Malware,1,1,0,0,Mumbai,0,1,1,1,0,0,35,MEDIUM,Validate Alert → Check Authentication History → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0006,Endpoint Malware,2,1,0,0,Unknown,0,0,1,1,0,1,25,LOW,Validate Alert → Check Authentication History → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,MANUAL REVIEW - Conflicting Evidence,Benign Activity
CASE-0007,Endpoint Malware,1,1,0,0,Bangalore,0,1,1,1,0,0,35,MEDIUM,Validate Alert → Check Authentication History → Review Email Activity → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
CASE-0008,Cloud Account Anomaly,1,1,1,0,Mumbai,1,0,0,1,1,1,40,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Endpoint Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,BLOCKED - Missing Evidence,Benign Activity
CASE-0009,Endpoint Malware,2,0,1,0,Chennai,0,0,0,0,1,1,10,LOW,Validate Alert → Check Authentication History → Investigate IP and Location → Collect Evidence → Assess Risk → Determine Containment,Continue Monitoring,BLOCKED - Missing Evidence,Benign Activity
CASE-0010,Cloud Account Anomaly,2,1,1,1,Bangalore,0,0,1,1,0,0,55,MEDIUM,Validate Alert → Check Authentication History → Investigate IP and Location → Review Cloud Activity → Collect Evidence → Assess Risk → Determine Containment,Escalate for Review,Normal Investigation,Benign Activity
